Nama Pengguna,Rating,Ulasan
M***A,bintang 5,Parfum sdh diterima sesuai pesanan.. Ampun dah JNE barang dikirim tgl 9 baru nyampek tgl 15.. Masa pengiriman sampek 6 hari padahal lokasi sama2 di Jawa.. Makasih seller...
D***i,bintang 5,mantapppp
Miftahuddin,bintang 5,aromanya khas lelaki dewasa yang suka ke masjid.
T***o,bintang 5,"sdh beli bbrp kali , kebetulan cocok aromanya , kl ketahananya standar"
Fachrezy,bintang 5,"pengiriman sangat aman dan ada garansi jika packing bermasalah, wanginya elegan dan tahan lama"
T***J,bintang 5,"kirain wanginya kaya A, ga taunya bukan. tapi ga papa, enak2 aja sih."
M***M,bintang 5,"barang sesui dengan pesanan, pekingnya juga aman👍👍"
R***y,bintang 5,"wanginya agak strong, ketahanan 6 jam, botol elegan"
Bryan,bintang 5,wifey approved
J***n,bintang 5,"oke sih, bau nya leathery banget"
subhan,bintang 5,"aromanya dewasa banget...mantap, cocok buat ke masjid/ majlis ilmu/ acara penting.."
A***i,bintang 5,wanginya mevvah.. bikin makin PD di kantor.. 👍🏻👍🏻
Dery,bintang 5,Admin baik dan fast respon!
Bobby,bintang 5,sudah langganan re order
D***y,bintang 5,Wanginya berkelas. Perpaduan oud dan wangi jaket kulit. Saya suka
R***i,bintang 5,Kebanyak ao
Alex,bintang 5,Wangi. Sesuai harga...pengiriman cepat. Packing aman. Barang diterima aman...
J***y,bintang 5,"respon penjual cepat, wangi woody nya soft.... berkelas, terimakasih"
Bachrudin,bintang 5,barang sesuai dengan pesanan dan packing aman terima kasih seller 👍
Imantoko,bintang 5,Wangi nya enak dan tahan lama. Recommended bamget yang menyukai aroma oud
Dani,bintang 5,baunya enak
A***i,bintang 5,bau aromaterapi rempah2 kwkwk tapi yg suka bau bau alam cocok ini mah wkkwk kaya masuk ke storenya wakai bau rempah2
A***i,bintang 5,bau aromaterapi rempah2 kwkwk tapi yg suka bau bau alam cocok ini mah wkkwk kaya masuk ke storenya wakai bau rempah2
i***s,bintang 5,"pengiriman cepet bgt, packing baik dan aman. wanginya mantap sy suka. dapat harga di 80rbn"
A***g,bintang 5,Blom dicoba tapi pengiriman cepat
Helmi,bintang 5,pengiriman cepat
Dadiyo,bintang 5,terimakasih
A***d,bintang 5,repeat order ke sekian kali
Jelang,bintang 5,Beneran kagettt banget wanginyaa kayak LV Ombre Nomade 😍
Y***f,bintang 5,wanginya itu lho... uenak tenand...
Herfianto,bintang 5,Packing oke. Wangi nya oke
M***a,bintang 5,Good
Harry,bintang 5,"wah asli niat banget packingnya, good mantap. untuk kemasan botolnya jg keren seolah dr clay/tanah liat. wanginya sih sejauh ini suka 22nya, cm blom tau nih pas kena keri..."
Jeffrey,bintang 5,"suka sama aromanya, cuma ketahanannya gak tahan lama padahal kegiatan saya hanya dalam ruangan. Mudah2an bisa diperbaiki kedepannya. sukses terus ya gan."
Fathul,bintang 5,aromanya elegan... sexy tapi berkarakter kuat.. aroma agak ke timur tengahan
R***y,bintang 5,"Wangi nya enak, buat cowok banget, udah yg ke-4 beli ini… 👍"
Y***s,bintang 5,"aromanya oke, berasa sangat maskulin. tapi ketahanannya mungkin tidak seperti sesuai klaim. paling 4 jam"
Aji,bintang 5,Pesanan diproses cepat dan barang dipacking rapi dan aman. Parfum nya lumayan kuat aroma nya.
Kristiawan,bintang 5,"Pengiriman cepat, kemasan aman dan bagus. Kualitas ok, wangi tahan lama dan awet seharian."
Nelson,bintang 5,wangi nya enak .
adysaputra,bintang 5,"Wanginya enak , tahan lama juga , manteppp"
Fredick,bintang 5,"barang sampai lebih cepat,pengemasan rapi dan sudah pake ini lebih daei 10 btol"
Kambali,bintang 5,"Kaya parfum solat, mirip parfum nya ustad yang kalo salaman wangi nya nempel di tangan. Tapi enak kok"
Ahmad,bintang 5,Enak wanginya dan cepat dikirim
M,bintang 5,"Pesanan sudah diterima dalam keadaan baik dan sudah sesuai dengan yang diorder. Pakingannya cukup baik dan aman. Aroma baunya lelaki bangeet dan menyegarkan, cocok dipaka..."
D***k,bintang 5,"mantap aromanya mewah ,wajar tidak tahan lama karena murah."
reza,bintang 5,bau nya ok pas ....tapi kurirnya lama....muter2 sampai ke lampung wkwkwwkwk
r***a,bintang 5,Lovee
Arifin,bintang 5,"paket sfh smp dng mulus ,packing bagus, parfum belum dicoba smoga sesuai"
Iti,bintang 5,"ini wangi nya woody tapi ada manis2 nya gitu, ga bikin kepala pusing dan ga bikin mual. saya suka sama wangi nya, beli yg kecil krn mau nyoba dulu, otw beli yg lbh besar."
muhammad,bintang 5,wangi nya enak
Hanatra,bintang 5,kemaren nyoba punya temen yg 15ml enak banget aroma oud ma pedes safronnya dominan.. ini beli yg 30ml kok malah dominan manisnya ya
Arifin,bintang 5,Best. Packing bagus. aroma nya wangi. maskulin.
F***z,bintang 5,"packingnya ajib banget double bublewrap luar dalem, wanginya ya lumayan lah, ga tau nih tahan lama atau engga"
A***i,bintang 5,"wanginya enak, walau strong di awal, lama2 jadi kalem"
N***i,bintang 5,wanginya tahan lama
Kristanto,bintang 5,Barang sesuai dengan pesanan. Terimakasih.
I***n,bintang 5,barang sesuai pesanan dan aromanya enak.
R***y,bintang 5,"Sudah ke 5x beli ini terus, wangi nya cocok banget 👍"
Raihan,bintang 5,"Sellernya ramah,helpful,dan fast respon dari segi packagingnya cukup simple, diawal sniff langsung tercium aroma woody dan spicynya, SPL-nya OK, harganya affordable worth..."
Hari,bintang 5,Produk ok
F***F,bintang 5,"barang bagus, wangi tahan lama, penjual fast respon,"
Yoga,bintang 5,"barang sesuai, dan aromanya oke. tapi minusnya pengiriman lama, problem di ekspedisi nya"
MASARI,bintang 5,Beli lagi
A***s,bintang 5,"Respon cepat, bau minyaknya sesuai diskripsi enak dan mantab."
Syaiful,bintang 5,Wansi sesuai harapan Dan packing rapih aman
ANDIKA,bintang 5,Muantap dan recommended
Jagermeister,bintang 5,mantap👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻
usman,bintang 5,kelas
R***i,bintang 5,"first blind buy parfum di cave, first impression bau parfum bapak2 jumatan😭"
E***n,bintang 5,saya sangat suka harumnya dan cocok buat saya okkkk.....
Erry,bintang 5,good
Dwiky,bintang 5,"Awal semprot memang kuat bgt aroma Leathernya, udh kayak kita masuk ke toko jaket atau tas kulit gitu, tapi setelah itu enak wanginya."
Tri,bintang 5,Oke makasih..
D***e,bintang 5,"Suka banget sama kualitas produk ini. Surprise jg dapet tambahan bonus, Cave emang terbaek 👍🏽"
Wahyu,bintang 5,"Wangi parfum enak dan maskulin, bentuk parfum unik, ketahanan wanginya lumayan lama dan cocok untuk pria > 20 tahun keatas. Recommended 👍"
Nanang,bintang 5,"aromanya enak banget ..,semoga ketahananx mantap juga"
R***a,bintang 5,wanginya enak dan nyampenya cepat banget. tks
Jeffrey,bintang 5,Wangi
A***f,bintang 5,"Baunya cukup awet, ada aroma2 timur tengah nya berasa kayak di arab"
Agus,bintang 5,sesuai
F***y,bintang 5,pembelian ketiga
E***y,bintang 5,Wanginya memang beda..👍👌
Muhammad,bintang 5,mantab gan
Bagus,bintang 5,terbaiq bosquueee
Sigit,bintang 5,Wangi versi laki laki. I love it
Muhammad,bintang 5,"Mantap, wanginya tahan lama"
Bayu,bintang 5,Sesuai deskripsi.... respon cepat.. salam sukses.
Alex,bintang 5,Seller fast respon super express dan produk bagus recommended sukses terus ya
A***a,bintang 5,Wangi enak sekalii
Nezha,bintang 5,wanginya enak. pengiriman aman dan cepat. thanks seller
Dodi,bintang 5,wanginya aduhai bngts
m***d,bintang 5,"Gokil, pengiriman cepet beuuuddd"
D***d,bintang 5,suka ama baunya
Reza,bintang 5,Mantappp wangi nya kaya om2 mapan😁
Yudi,bintang 5,"wanginya parah, Wangi banget...cocok dech...gw rekomendasi buat lo lo pade beli Ni parfum, soalnya cokpis buat di semprotin ke badan biar wangi"
P***i,bintang 5,wanginya cocok
Ogie,bintang 5,yaakk.. dagh
Risman,bintang 5,"goooo, sesuai"
T***o,bintang 5,saya suka aromanya clasic oud dan prosesnya jg cepat
Rangga,bintang 5,"Bau bau masjid Nabawi ada di parfum ini, bikin kangen madinah"
achmad,bintang 5,wangiiii
Y***a,bintang 5,projection just okay... overall mantep sihh varian ini.....
G***i,bintang 5,dah sampai gan...tingkatkan lagi pelayanan.thanks
S***i,bintang 5,wangi sesuai ekspektasi deh!!!
A***g,bintang 5,wangi nya wueeenak
Alex,bintang 5,love bgt ini sesuai selera aku suka wanginya ❤️
Putu,bintang 5,Wangi enak tahan lama cuma minusnya di botol dan tutup parfumnya ketika baru diterima parfumnya rembes dan bocor
effendi,bintang 5,"parfum sesuai dengan deskripsi wanginya pas, tidak menyengat cukup tahan lama 👍 pengiriman tepat waktu 👌"
Ilham,bintang 5,"Respone cepat, Brg langsung kirim, packing rapih dan aman"
R***n,bintang 5,"paket sampai dengan aman ditempat, untuk wanginya lumayanlah."
A***s,bintang 5,"packaging ok dan aman, pengiriman cepat, aroma cocok, harga bersahabat"
Aji,bintang 5,"barang bagus sesuai deskripsi, terima kasih pelayanan dan kerjasamanya"
Fredick,bintang 5,"barang sampai lebih cepat,pengemasan rapi dan sudah pake ini lebih daei 10 btol"
Kambali,bintang 5,"Kaya parfum solat, mirip parfum nya ustad yang kalo salaman wangi nya nempel di tangan. Tapi enak kok"
Yulrio,bintang 5,Joss... wanginya...
h***a,bintang 5,Wanginya laki bgt. Recommended seller pokoknya
Tonny,bintang 5,Lumayan Ok wanginya
Satrio,bintang 5,baunya tahan lama
Dhani,bintang 5,yg ke 2 kalinya order ini. tidak mengecewakan pokoknya.
N***S,bintang 5,Aroma wangi cocok & sangat awet
a***a,bintang 5,wanginya maskulin. packing aman. pengiriman cepat
Iwanto,bintang 5,"Wanginya mantap, ga kaleng². Boleh coba yang lainnya."
tommy,bintang 5,Semoga wanginya sesuai ekspetasi
Abdul,bintang 5,"cocok wanginya, kuat. terima kasih"
A***d,bintang 5,Menarik wanginya
P***y,bintang 5,Pembelian kedua… Ya memang boleh sesuka itu sm wanginya.. 😘
Rudi,bintang 5,"mantap wanginya, beneran ampir mirip LV..."
Demy,bintang 5,"barang sampai tepat waktu, packing rapi dan aman, order setelah nyobain paket sample"
N***a,bintang 5,Aromanya keren! Botolnya gak kalah keren! Opsi 15 ml yang saya beli pas banget untuk dibawa travelling. Awesome!
S***a,bintang 5,cocok banget. packing aman.
Rachmat,bintang 5,"barang diterima dgn baik, packing seller the best. sesuai harapan aromanya... sangat puas. 🙏👍👍👍"
d***y,bintang 5,enak wanginya
Djony,bintang 5,Wangi parfum ini sangat cocok buat saya. Sangat masculin dan tahan lama di pakaian.
Ari,bintang 5,"packaging aman wangi thanks mimin, thanks tokped 👍👍"
P***t,bintang 5,enak banget wanginya. sesuai expektasi
Andrian,bintang 5,👍👍👍👍👍
A***d,bintang 5,beli lagi lagi lagi
wahyu,bintang 5,"wangi enak, tahan lama, kayaknya bakal cocok sama ini"
r***t,bintang 5,respon cepat dan memuaskan
R***a,bintang 5,Wangi enak woody
D***y,bintang 5,Enak betul wangi nya 👍🏻
Wawa,bintang 5,Enak wanginya mirip sama LV Ombre 👍
C***a,bintang 5,Wangi
Muhammad,bintang 5,"pengiriman cepat, cukup suka wanginya"
ismail,bintang 5,mantap aromanya
H***a,bintang 5,rasa parfum arab
Heni,bintang 5,selalu puas belanja di sini..thanks seller produknya cocok dipakai sukses selalu
G***o,bintang 5,Oud nya sensasi wangi arab
