Nama Pengguna,Rating,Ulasan
Purwo,bintang 5,"Alhamdulillah sudah sampai, wangi nya enak, Mudah2an wanginya awet lama, trims seller Pak kurir dan Tokped …"
Abiansyah,bintang 5,"packing bagus, udah repeat yang ke 3kali"
R***i,bintang 5,Aromanya seperti fresh cocok untuk dipakai beraktivitas siang dan malam hari.
Raja,bintang 5,semoga cocok
Rahmat,bintang 5,"wanginya sweet, seger, soal ketahanan sih kurang tau ya, overall rekomend dah pokonya👍"
Dio,bintang 5,Wanginya lumayan enak
Byuarez,bintang 5,Nice shopping thank's
Bagus,bintang 5,wangi pas harga pas
Muhamad,bintang 5,wangi seger dan kalem
C***e,bintang 5,masih blm terbiasa utk wanginya wkwk apa krn utk cowok ya tp kemasan pocket gini gampang utk dibawa2 dan disimpan nya mudah
Much,bintang 5,"EDT, aroma oud nya nggak strong banget, pas lah menurutku, wanginyaa juga awet, packagingnya sangat aman, ada bublewrap didalam kardusnya, ini rekomended seller, walau pe..."
N,bintang 5,Sangat puas ... yang pasti bertahan wangi sepanjang hari . 😊👍👍👍.
N***i,bintang 5,"barang sesuai (original wangi nya sama). Waktu proses nya kilat ⚡, waktu pengiriman sesuai. Packaging nya niattt 🔥🔥🔥 (hanya utk 1 parfume 35ml pack service nya pakai d..."
S***l,bintang 5,"wanginya enak gak nyegrak, segar , mantablah."
R***o,bintang 5,Wanginya enak.. penampakan product sesuai dengan di foto..
A***A,bintang 5,Sudah diterima dengan baik dan aman
M***d,bintang 5,nice
y***p,bintang 5,"wangi nya mantap, pengiriman cepat respon gercep👍👍"
o***k,bintang 5,order yang kedua kalinya dgn aroma berbeda. mantabs. harga promo. bakal order lagi. terimakasih.
R***n,bintang 5,Impressive
K***l,bintang 5,Wanginya suka seperti yg suka dicium waktu di Madinah
krishna,bintang 5,Suka dengan baunya dan sudah bbrp kali repeat order
T***o,bintang 5,wanginya smooth
R***l,bintang 5,Wang I Dan aman
o***k,bintang 5,suka banget sama seri kahf ini. sudah beberapa kali reorder. wanginya mantebs. pasangan suka. pengepakan aman. pengiriman relarif cepat. terimakasih.
Renee,bintang 5,"pesanan sesuai, packing aman, ED panjang"
R***i,bintang 5,gudd
Kriswanto,bintang 5,"barang sesuai, pembelian ke dua... wanginya enak, sweet plus kekayuan"
Gilang,bintang 5,"tidak mengecewakan, sesuai dengan deskripsi"
Adi,bintang 5,Wanginya enak
F***a,bintang 5,"Sesuai pesanan, kemasan rapih dan aman, minusnya produk kahf ini pencetannya itu suka mendem (kurang bagus), saya sudah berkali2 beli parfum kahf, terima kasih"
Desy,bintang 5,mantaappp
S***a,bintang 5,wangi soft untuk daya tahan harum masih belum tahu.
Y***i,bintang 5,mabtap
Fachri,bintang 5,wangi poll cok
Rijalul,bintang 5,Mantappppp
Rochmat,bintang 5,alhamdulillah paket Sudah nyampe dgn selamat Barang Bagus sesuai dgn gambar. blm Di coba mudah2an wanginya cocok dgn yg diinginkan. Paket dibungkus dgn rapih dan aman. Tk...
f***i,bintang 5,"bagus, wangi enak"
R***i,bintang 5,"Baru pertama nyoba parfume kahf. packing aman banget, cuman ga cocok aja sama wanginya, kya ga keluar gitu wanginya. Tidak sesuai ekspetasi saya."
A***H,bintang 5,wanginya agak ngejreng seperti wanginya kayu manis atau .... belum biasa dengan wewangiannya moga cocok dengan saya
gun,bintang 5,mantap
P***i,bintang 5,"ok warna hitam asli dari Kahf, sesuai pesanan"
Pani,bintang 5,mantappp
I***m,bintang 5,"was a good parfume, so sweety."
Rama,bintang 5,brg mantap..ori pnya
A***z,bintang 5,Udah paling cocok!
B***s,bintang 5,manis mantap
A***d,bintang 5,"wangi si menurut saya, ketahanan nya juga lumayan lama👍👍"
Anwar,bintang 5,"Alhamdulillah, produknya bagus, dan saya akan repeat order."
susilo,bintang 5,wanginya enak
C***a,bintang 5,saler garcep dah...... mantabb packing sangat aman & rapih
A***a,bintang 5,"wangi nya gk cocok buat saya,,kirain manis tapi ini bikin nusuk ke hidung dan juga mual kalo nyium aromanya,,ketahanannnya juga bentar soalnya ini parfum EDT bukan EDP,,,..."
Revan,bintang 5,paket di Terima dengan aman&baik packing oke produk juga oke Terima Kasih #BRO Kahf!!
M***e,bintang 5,Parfum favorit keluarga. Terjangkau dan aromanya enak
E***a,bintang 5,"wanginya mantap, tahan lama"
Imanuel,bintang 5,"enak aromanya ,mantap"
Bahari,bintang 5,"wanginya soft, enak lumayan tahan lama"
Sandy,bintang 5,uhuk...batuk pak haji.. ???
abdurrafi,bintang 5,Mantap bgt barang yg tadinya kurang di kirim lagi dan sangat cepat
V***o,bintang 5,wangi baccarat tapi lebih manis
adrian,bintang 5,"Suka banget sama wanginya, paling cocok dipake malem ditambah ujann"
F***S,bintang 5,Matur Nuwun
desi,bintang 5,"baguss bgt kemasannya, packing amann, baunya harum 🥰🥰🥰"
Hizkil,bintang 5,Wanginya harum mantap
D***y,bintang 5,"mantap, wanginya enak"
D***s,bintang 5,mantap
T***i,bintang 5,bagus wangi ya kalem suka sesuai pesanan. makasih
B,bintang 5,"mamtab, wanginya josss"
F***y,bintang 5,"pengiriman agak lama, namun barang sesuai tingkatkan lg pelayanannya"
faizal,bintang 5,wanginya enak
Matthew,bintang 5,"baunya gentle banget ga bikin pusinh, enak"
Fritzo,bintang 5,"mantap jiwa, thank you Kahf!"
Hananda,bintang 5,"cocok, untuk edt termasuk awet wanginya"
Rifqy,bintang 5,Wanginya enak
Ariprabowo,bintang 5,botolnya klo bisa transparan biar terlihat isinya
A***d,bintang 5,aroma legend
M,bintang 5,bagus.packing juga aman.suka wanginya.sukses selalu.
Frizki,bintang 5,gilak awet banget
Agus,bintang 5,Mantapp
Fahrisal,bintang 5,Barang telah diterima dalam kondisi baik. Terima kasih Min.
Agung,bintang 5,"Produk sesuai, harga dan kualitas baik, senang belanja disini"
suwardi,bintang 5,barangnya sudah sampai terima kasih
Chicca,bintang 5,Harumnya masyaAllah enak pake banget. Pengiriman agak lama sih tapi gpp. Puas banget sama produknya
V***o,bintang 5,good
N***l,bintang 5,"pengiriman cepet bgt dan aman, Wangi ga ush ditanya lah udh paling best kahf"
Wry,bintang 5,manteepp
Muhammad,bintang 5,barang cepat sampai. aromanya segar
A***i,bintang 5,Wangi kali
A***a,bintang 5,Parfum apa ini? masa cuma 50 ribu? 300 ribu juga gua beli!!
R***o,bintang 5,Barang Ori
Wahyu,bintang 5,Wangi surga gak sih inj
Muhammad,bintang 5,mantap
Rian,bintang 5,Mntep
I,bintang 5,barang bagus
ABDUL,bintang 5,mantab
S***t,bintang 5,oke semua
Rian,bintang 5,mantap lah
Teguh,bintang 5,"awalnya ku kira parfum toilet, ternyata parfum nya kelas elite. Murmer dan wangi enak. tapi saran ya, bisa bikin varian lain yg lebih lakik baunya."
Yudha,bintang 5,Joss gandos
al,bintang 5,"mantap, wangi enak mewah banget, cocok buat formal formal, nongki juga cocok. ukuran enak bisa dikantong"
n***a,bintang 5,wangi kalem tidak menyengat di hidung
D***y,bintang 5,barang sufah diterima sesuai orderan. packing terbaik dan rekomended store. terima kasih
S***o,bintang 5,"Selalu suka aroma parfum ini, biarpun gak tahan lama"
R***y,bintang 5,"bantu review ringan aja ya. hitam: wanginya seperti wangi2 arab lembut banget,, yg pernah umroh kenal banget sama wangi ini.. bikin pgn umroh lagi😄 coklat: wangi fres..."
Y***n,bintang 5,terimakasih
Bagus,bintang 5,wangi enak
N***l,bintang 5,wanginya enak
iqbale,bintang 5,Mantap
A***i,bintang 5,oke
S***r,bintang 5,mantap anjay
PriHandoko,bintang 5,"Kualitas bagus, Packingnya Professional, rekomen Seller..mau beli Aroma ainnya..."
Hafiz,bintang 5,wanginya enak
W***n,bintang 5,barang sesuai deskripsi
Petty,bintang 5,"Terima kasih, barang telah sampai dalam kondisi baik dan benar. Pengemasan bagus. Recommended seller👍"
Samiaji,bintang 5,baru kali ini order lewat toped bisa pengirimannya sampe 5 hari
Yanuar,bintang 5,wangi enak bgt. oud rada ada rose nya.. lembut
Raihan,bintang 5,"Wangi parfumnya cocok banget dipakai ke mesjid, admin ramah dan fast response, pengiriman cepat dan packing sangat aman👍😁"
Agus,bintang 5,suka aromanya
Akif,bintang 5,baunya wangi manis mantap
S***o,bintang 5,Semoga awet
I***g,bintang 5,oke 👍
Aang,bintang 5,"belum dibuka, masih coba2 pakai."
Ipung,bintang 5,Sesuai pesanan tapi layanan pengiriman nya yg hrs di perbaiki
Ahmad,bintang 5,mantull
Irfan,bintang 5,"Barang sudah diterima, kualitas produk sangat baik, wangi nya tahan lama. Terimakasih seller..."
B,bintang 5,"pembelian keberapa lupa, tapi mantabbb"
Adlan,bintang 5,the best
Muhammad,bintang 5,mayan
Abdul,bintang 5,walaupun agak lama nunggu tapi suka dengan wanginya
Slamet,bintang 5,"enak banget wanginya, bikin candu.."
Sani,bintang 5,cocok buat yang suka parfum kiyai
Nico,bintang 5,mantapp
Muhammad,bintang 5,Barang tiba dengan sangat aman karna menggunakan dus tambahan serta bubble wrap yang tebal. Pengirimannya pun responnya cepat
i***n,bintang 5,"cepat, aromanya seger seperti rose vanilla,,, tahan lama"
Bayu,bintang 5,barang diterima dalam kondisi Baik. Wangi sesuai yang tercantum. trims
Sigit,bintang 5,mantaaaab
MASARI,bintang 5,Seger wanginya
P***a,bintang 5,Recommended
Ichwan,bintang 5,Manis bauknya.
F***l,bintang 5,"wangi musk yg lembut, tp lelaki bgt karakternya."
h***n,bintang 5,sesuai
Sunk,bintang 5,"Paket aman, karena diberi 2 lapisan bubble.. Setelah dicoba, sesuai harapan, Recommended seller.. Terima kasih"
M***g,bintang 5,Wangi
Faisal,bintang 5,mantap wanginya enak
ANWAR,bintang 5,Mantap sih tapi gak seperti yg aku perkirakan 🤣🤣🤣 intinya ini parfum kelas pertamax turbo harga pertalite
Muhamad,bintang 5,"wanginya oke, agak nyegrak digit, di awal pemakaian lebih condong ke musk"
