Nama Pengguna,Rating,Ulasan
Andre,bintang 5,Barang sudah di terima dan sesuai.. wangi nya ok. Pengen cepet habis biar bisa order lgi. Thx SOTB
FRENGKY,bintang 5,wangin nya okee bangett
Y***a,bintang 5,gaada cacat sedikit pun dan yg selalu suka selalu ada sample varian parfum yg lain👍 sukses selalu Saff n Co ✨️
Sajim,bintang 5,aman dus bagus
H***i,bintang 5,"Wangi banget sumpah, pertama kali cium langsung jatuh cinta sama SOTB 🫰🏻 dann wanginyaa awet awet super duper awet"
I***n,bintang 5,Wanginya cocok packaging nya juga bagus
Simom,bintang 5,Cepet bgt nyampenya Admin gercep Barang udh pasti ori dan kualitas terjamin Mantap min
Caryadi,bintang 5,"Terimakasih ini pembelian ke sekian kalinya, wangi enak dan tahan lama, selalu puas"
t***h,bintang 5,"wanginya cocok, dan lumayan awet, cuma harganya kurang murah."
nayla,bintang 5,jangan diragukan semua org bilang wangi bangettt
Rina,bintang 5,"Cepet bgt datangnya, dan wangi yg soft mewah🥰"
Irene,bintang 5,"produk lokal yg aromanya saangat berkelas, menjadi favorit saya dan pasangan saya"
Fery,bintang 5,enak wangi nya
S***h,bintang 5,Wangii
Andreas,bintang 5,pengiriman cepattt. terimakasih
antoni,bintang 5,ga ada gift nya ya ka.
Eko,bintang 5,pengiriman sesuai waktu dan kondisi barang ok
Irene,bintang 5,"wanginya segar , khas dan tahan lama."
Sumarto,bintang 5,"packing aman, produk berkualitas sesuai ekspektasi. seller sangat ramah dan responsif"
g***h,bintang 5,wanginya enak.recomended seller
R***n,bintang 5,Wanginya awet banget Pengiriman aman Istri saya suka Kualitas sangat baik Terima kasih
Veronica,bintang 5,"parfum kesayangan, gatau udah repurchase yg keberapa"
E***i,bintang 5,"Paket sudah sampai sesuai dengan pesanan package aman kualitas original dapat free travel parfum dan pouch,terima kasih Staff n Co dan TOPED sukses selalu."
Yasmine,bintang 5,Ok
H***i,bintang 5,Wangiii.. suka lah
Muhammad,bintang 5,"Wangi enak, kalem dan ga terlalu pekat, cocok dipake dimalam hari"
A***s,bintang 5,wangi kulaitasnya.. minta tester di kasih tp random harusnya klo minta tester yang di requesr harusnya dinkasih karena itu pasti incaran pembelian berikutnya
F***k,bintang 5,packing rapi dan aman. barang original. wangi enak.
Darrell,bintang 5,"wanginya enakk, kualitas mantapp, wanginya juga tahan lama. terima kasih🙏"
fazar,bintang 5,nicee wangit bet
Didit,bintang 5,"jos gandos, top markotop wanginya ena"
Cynthia,bintang 5,Wanginya nampol
m***z,bintang 5,Mantap
Neni,bintang 5,"setelah nyoba yang mini size ny, akhirny beli yang kemasan standarjy, wangiiii banget"
M***d,bintang 5,aroma nya not bad ketahanan nya belum di coba
Halliza,bintang 5,wangi nya enak banget dan selalu repurchase
Rausigof,bintang 5,"packing rapih, cepat sampai, dikasih sample jugaa.. terimakasih 😆🙏"
N***r,bintang 5,"Packaging rapih, dapet decant solaris, wanginya manis cocok untuk di pake malem atau di dalam ruangan"
nany,bintang 5,"Cadass euy wanginya, sukakkk"
dermawan,bintang 4,"strong banget,tapi lama² lumayan wangi &ketahanan bagus"
Jordi,bintang 5,bagus sekali
R***o,bintang 5,"Mantap, great price, fast delivery, wanginya tahan lama"
A***y,bintang 5,oke sangat puas sudah order untuk kesekian kali
Riwen,bintang 5,wangi nya enak dan nyaman dihidung
M***o,bintang 5,Sudah diterima. Aroma nya pas. Semoga tahan lama.
Y***i,bintang 5,sesuka itu🔥
r***a,bintang 5,wanginya enak ga bikin enek dan awet poll semprot dibaju bsknya wanginya tetep nempel.
josua,bintang 5,"Wanginya enak dan suka bgt, buat indoor dan outdoor ok, tapi wanginya lebih cocok untuk indoor dan night parfum dan parfumnya tahan lama bisa seharian"
Putu,bintang 5,pembelian yg kesekian kalinya wanginya awet dan enak banget
Santike,bintang 5,harum banget maniss
Ryne,bintang 5,Demi apa SOTB dateng malah pen beli yg solaris wkwkwk sama2 bikin PD wanginya
Y***a,bintang 5,Wangi nya always awet dan soft
d***a,bintang 5,"my favo all the time, suka bgttt after tastenya😍😍😍"
F***l,bintang 5,"Recommended Seller. Berkomitment tinggi, pengantaran tepat waktu. Utk Parfumnya. Aroma nya luar biasa. Kuat, tahan lama dan SPL nya terbukti. Enak wanginya. Gak kan nye..."
Aldina,bintang 5,kualitas bagus bgt
I***i,bintang 5,Suka banget kmaren beli yg travel size and wangi tahan lama jadi beli lagii and dapet free nya wangii bgt pliss
Lisa,bintang 5,"Sesuai pesanan, wanginya enak, dapat bonus sample. Thanks seller 👍🏻"
A***H,bintang 5,"pengiriman cepat, barang ori wanginya ngga bosan, seller ramah, terimakasih."
M***d,bintang 5,"wangii nyaa enak bangettt gacorr, dapet tester jugaa top dehh"
D***e,bintang 5,Mantap wangi kelasss
A***f,bintang 5,"wanginya long last, packging aman, pengiriman cepet"
M***l,bintang 5,wanginya mantab
A***i,bintang 5,"Barang yang diterima sesuai, cuma memang wanginya udah nggak seawet awal awal beli dulu, sekarang cepet nguap baunya."
G***i,bintang 5,"Ini udh repeat order ke yang 3x kalo ga salah. Suka banget sama variant yang S.O.T.B, suka banget sama wangi nya. Oh iya makasih banyak juga dikasih bonus tester yang sol..."
Irene,bintang 5,uda repeated order 👍👍👍
wawan,bintang 5,BahJhab a ah a Ba ajahahahaja. Aahbaiana a ababa ba
Fatur,bintang 5,"mantap, aromanya lembut"
Rifaldy,bintang 5,"The best parfumnyaa , ga ngecewain sampe bikin racun di kantor karna tertarik sama wanginya yang soft dan sopan di hidung 🙏🏻 projection & longevity lumayan oke"
B***y,bintang 5,Baunya kalem
Ivan,bintang 5,"emg mantep, botol ke 2"
P***i,bintang 5,"Parfum fav, dipake hari ini besokpun masih tersisa wanginya. Selalu pada gagal fokos kalo aku pake parfum ini Maaf fotonya tdk sesuai"
Rizky,bintang 5,"Barang yang wajib dibeli pokoknya. Wanginya paling khas dan paling enak dihirup. Dan yg paling bagusnya lagi, parfumnya tahan lama dengan aktifitas cukup berat"
Yudi,bintang 5,mantaaff wangi nya
Siska,bintang 5,Wangi sekali
egi,bintang 5,"wanginya enak banget , gak salah jadi best seller ,dan yang pasti original"
geovahmy,bintang 5,bagus banget wangi enaknyooo
Misbahuddin,bintang 5,nice enak sekali wangi parfum nya gilsss
Anto,bintang 5,aku suka banget yang ini
l***h,bintang 5,"wanginya enak, tahan lama"
r***y,bintang 5,"produk sudah diterima dengan baik,, wangi nya cocok. Terima kasih"
C***t,bintang 5,"Harumnya enaak bgt, tpi first spray kureng sih wkwk"
A***a,bintang 5,best seller karena ketahanan wanginya no.1 dari all variann
N***y,bintang 5,secocok itu wanginya
